上牌时间,表显里程,上牌地,迁入地为准,变速箱,排量,登记证为准,看车地址,年检到期,交强险,商业险到期,car_title,car_prices,car_newprices,car_url
2017-12,2.07万公里,徐州,国五,自动,1.5,0次过户,云龙,2019-12,2019-1,已过期,别克 昂科威 2017款 20T 两驱精英型,¥15.21 万,新车指导价25.60万(含税),https://www.guazi.com/xuzhou/363cd8bb84cb4283x.htm
2015-01,3.47万公里,徐州,国五,自动,1.6,0次过户,云龙,2019-1,2018-12,已过期,奔驰A级 2013款 A 180 时尚型(进口),¥14.65 万,新车指导价27.40万(含税),https://www.guazi.com/xuzhou/40573760a3f1de90x.htm
2015-11,6.1万公里,淮南,国五,自动,1.4,0次过户,云龙,2019-11,2019-11,2019-11,大众 高尔夫 2015款 1.4TSI 自动R-Line,¥11.30 万,新车指导价18.70万(含税),https://www.guazi.com/xuzhou/767e20d5296e2760x.htm
2013-01,6.52万公里,徐州,国四,自动,1.6,0次过户,云龙,2019-1,2019-1,已过期,别克 英朗 2013款 GT 1.6L 自动时尚版,¥5.51 万,新车指导价16.60万(含税),https://www.guazi.com/xuzhou/4c3ddc214580c5dex.htm
2017-01,4.25万公里,徐州,国五,自动,1.6,0次过户,云龙,2019-1,2019-1,已过期,标致308 2016款 350THP 自动尊贵版,¥8.78 万,新车指导价17.30万(含税),https://www.guazi.com/xuzhou/48cd3eb2473432f3x.htm
2016-05,3.85万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-5,2019-4,2019-4,林肯MKX 2015款 2.0T 四驱尊雅版,¥29.10 万,新车指导价54.30万(含税),https://www.guazi.com/xuzhou/9076406cbe03f271x.htm
2015-12,0.97万公里,徐州,国五,自动,1.6,0次过户,云龙,2019-12,2018-11,2019-11,别克 君威 2015款 1.6T 领先技术型,补贴后9.97 万,原价10.96万,https://www.guazi.com/xuzhou/5bbc4c12eb64d6cfx.htm
2008-12,12.85万公里,徐州,国三,手动,1.6,1次过户,鼓楼,2019-4,2019-4,2019-4,海马 海福星 2008款 1.6L 手动幸福版GX,¥1.10 万,新车指导价6.50万(含税),https://www.guazi.com/xuzhou/d84f7bbc913d2215x.htm
2016-08,2.48万公里,徐州,国四,手动,1.5,0次过户,邳州,2020-8,2019-8,2019-8,众泰T600 2016款 1.5T 手动尊贵型,¥7.80 万,新车指导价10.70万(含税),https://www.guazi.com/xuzhou/1c19f64cbb63a2dex.htm
2016-12,6.25万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-12,2018-12,已过期,沃尔沃XC60 2017款 T5 AWD 智远版,¥22.68 万,新车指导价46.70万(含税),https://www.guazi.com/xuzhou/c88ead17718142a9x.htm
2015-06,4.94万公里,徐州,国五,自动,2.0,0次过户,泉山,2019-6,2019-6,2019-6,别克 君威 2015款 GS 2.0T 豪情运动版,¥13.98 万,新车指导价25.00万(含税),https://www.guazi.com/xuzhou/bdd8c8601d66de89x.htm
2014-10,6.95万公里,徐州,国五,手动,1.4,0次过户,丰县,2018-10,2018-10,2018-10,菲亚特 菲翔 2012款 1.4T 手动悦享版,¥5.22 万,新车指导价11.80万(含税),https://www.guazi.com/xuzhou/96a83e566996eb75x.htm
2013-07,10.83万公里,徐州,国四,自动,2.4,0次过户,云龙,2019-7,2019-6,2019-6,本田 奥德赛 2013款 2.4L 精英版,¥14.00 万,新车指导价26.00万(含税),https://www.guazi.com/xuzhou/dd5f75edf7289e14x.htm
2011-02,4.84万公里,徐州,国四,手动,1.6,0次过户,泉山,2019-2,2019-2,已过期,铃木 天语 尚悦 2011款 1.6L 手动舒适型,¥2.38 万,新车指导价8.70万(含税),https://www.guazi.com/xuzhou/910858efc8608b8bx.htm
2017-01,0.89万公里,徐州,国五,自动,2.0,0次过户,鼓楼,2019-1,2019-1,2019-1,凯迪拉克ATS-L 2016款 28T 技术型,¥20.00 万,新车指导价32.40万(含税),https://www.guazi.com/xuzhou/7f634c616beac276x.htm
2018-01,0.73万公里,徐州,国五,自动,2.0,0次过户,泉山,2020-1,2019-12,已过期,奥迪A4L 2018款 30周年年型 40 TFSI 进取型,¥25.20 万,新车指导价33.30万(含税),https://www.guazi.com/xuzhou/cfd6b547dea6ce1ax.htm
2017-07,2.97万公里,徐州,国五,自动,1.6,0次过户,丰县,2019-7,2019-7,2019-7,大众 朗逸 2017款 1.6L 自动舒适版,¥9.20 万,新车指导价14.90万(含税),https://www.guazi.com/xuzhou/0d193ece8ef196a1x.htm
2010-11,7.9万公里,徐州,国四,手动,1.2,1次过户,沛县,2019-11,2019-11,已过期,雪佛兰 赛欧 2010款 三厢 1.2L 手动温馨版,¥2.00 万,新车指导价6.20万(含税),https://www.guazi.com/xuzhou/efbd8e0301cd39f6x.htm
2015-06,6.08万公里,徐州,国五,自动,2.0,2次过户,云龙,2019-6,2019-4,已过期,宝马5系 2014款 525Li 领先型,¥26.30 万,新车指导价50.60万(含税),https://www.guazi.com/xuzhou/3e39b330604aa652x.htm
2016-04,6.19万公里,徐州,国五,自动,1.8,0次过户,云龙,2020-4,2019-5,已过期,大众 迈腾 2016款 1.8TSI 智享领先型,¥14.53 万,新车指导价24.20万(含税),https://www.guazi.com/xuzhou/e6f864024c67ee4bx.htm
2016-04,3.4万公里,日照,国五,自动,1.8,1次过户,云龙,2019-4,2019-4,2019-4,现代 名图 2016款 1.8L 自动智能型GLS,¥9.15 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/ea9f4825a0ce4570x.htm
2010-11,8.86万公里,徐州,国四,自动,2.0,1次过户,云龙,2019-11,2019-12,已过期,日产 天籁 2010款 2.0L XL周年纪念版,¥6.40 万,新车指导价23.30万(含税),https://www.guazi.com/xuzhou/dcc7859b7e72475ax.htm
2015-12,2.11万公里,徐州,国五,自动,1.4,0次过户,云龙,2019-12,2019-12,已过期,大众 高尔夫 2015款 1.4TSI 自动舒适型,¥9.93 万,新车指导价16.80万(含税),https://www.guazi.com/xuzhou/05b926a2d0addb51x.htm
2013-05,7.15万公里,徐州,国四,手动,1.8,1次过户,云龙,2019-5,2019-5,已过期,大众 途观 2012款 1.8TSI 手动两驱都会版,¥8.43 万,新车指导价21.70万(含税),https://www.guazi.com/xuzhou/fe5fdebb34278c40x.htm
2015-07,5.85万公里,阜阳,国五,自动,1.5,0次过户,云龙,2019-7,2019-7,已过期,别克 昂科威 2015款 20T 两驱精英型,¥13.19 万,新车指导价25.60万(含税),https://www.guazi.com/xuzhou/54bd6056df4a84e5x.htm
2012-09,8.01万公里,徐州,国四,手动,1.8,0次过户,睢宁,2018-9,2018-9,2018-9,江淮 瑞风M2 2012款 1.8L MT宜商舒适版5座,¥2.20 万,新车指导价7.40万(含税),https://www.guazi.com/xuzhou/ae6a7002406787cdx.htm
2017-09,2.33万公里,徐州,国五,自动,1.6,0次过户,沛县,2019-9,2018-9,2018-9,长安 逸动 2016款 XT 1.6L GDI 自动致酷型,¥6.60 万,新车指导价9.60万(含税),https://www.guazi.com/xuzhou/c3a5bb9630c5312bx.htm
2012-03,6.62万公里,徐州,国四,自动,2.4,0次过户,睢宁,2019-3,2019-3,已过期,雪佛兰 迈锐宝 2013款 2.4L 自动旗舰版,¥7.02 万,新车指导价25.30万(含税),https://www.guazi.com/xuzhou/9e200259e2affe4ax.htm
2016-01,5.43万公里,徐州,国五,自动,1.5,0次过户,邳州,2020-1,2019-1,2019-1,别克 威朗 2015款 三厢 20T 双离合领先型,¥10.60 万,新车指导价17.70万(含税),https://www.guazi.com/xuzhou/83ff7b4f53c56d11x.htm
2014-08,7.69万公里,徐州,国四,自动,2.0,0次过户,泉山,2020-8,2019-7,已过期,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,¥8.64 万,新车指导价21.40万(含税),https://www.guazi.com/xuzhou/631e8f55f08f3be7x.htm
2015-01,3.36万公里,徐州,国四,手动,1.5,0次过户,睢宁,2021-1,2020-1,2019-1,荣威350 2014款 1.5L 手动迅捷版,¥3.70 万,新车指导价9.80万(含税),https://www.guazi.com/xuzhou/256f0019befb6469x.htm
2012-07,14.9万公里,徐州,国四,自动,1.6,0次过户,邳州,2019-7,2019-7,2019-7,现代 悦动 2011款 1.6L 自动豪华型,¥5.50 万,新车指导价13.10万(含税),https://www.guazi.com/xuzhou/a3cf0c909ece5419x.htm
2010-05,8.36万公里,徐州,国四,手动,1.5,0次过户,邳州,2019-5,2019-5,2019-5,长安 悦翔 1.5手动豪华版,¥1.90 万,,https://www.guazi.com/xuzhou/24eaac3f6daf1408x.htm
2016-08,4.53万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-8,2019-6,2019-6,众泰T600 2016款 运动版 2.0T 自动尊贵型,¥6.28 万,新车指导价15.20万(含税),https://www.guazi.com/xuzhou/eb8cfe4b5845655ax.htm
2014-01,10.75万公里,徐州,国四,手动,1.4,0次过户,鼓楼,2019-12,2019-2,已过期,菲亚特 菲翔 2012款 1.4T 手动悦享版,¥4.30 万,新车指导价11.80万(含税),https://www.guazi.com/xuzhou/512212758506d538x.htm
2016-12,3.72万公里,徐州,国五,自动,1.4,0次过户,云龙,2020-12,2019-12,已过期,斯柯达Yeti 2017款 TSI280 DSG车享兄弟版,¥9.50 万,新车指导价17.30万(含税),https://www.guazi.com/xuzhou/02aa67b0da070d43x.htm
2014-03,5.48万公里,徐州,国四,自动,2.0,0次过户,泉山,2020-3,2019-3,2019-3,斯柯达 明锐 2010款 2.0TSI RS,¥9.50 万,新车指导价22.90万(含税),https://www.guazi.com/xuzhou/0a5aa612fd33634ax.htm
2014-02,16.2万公里,徐州,国五,自动,1.6,2次过户,贾汪,2020-2,2019-2,已过期,福特 福克斯 2012款 三厢 1.6L 自动风尚型,¥7.80 万,新车指导价15.60万(含税),https://www.guazi.com/xuzhou/3c3015aa67171576x.htm
2012-05,6.86万公里,徐州,国四,手动,1.6,1次过户,睢宁,2019-5,2019-5,2019-5,别克 凯越 2008款 1.6LE-MTNavi,¥3.50 万,新车指导价13.70万(含税),https://www.guazi.com/xuzhou/3efe56e7718f16d1x.htm
2013-02,2.38万公里,徐州,国四,自动,2.0,0次过户,鼓楼,2019-2,2019-1,已过期,标致408 2013款 2.0L 自动豪华版,¥5.50 万,新车指导价17.10万(含税),https://www.guazi.com/xuzhou/1080217cb1fdf32cx.htm
2012-12,10.76万公里,徐州,国四,自动,2.0,2次过户,泉山,2018-12,2019-12,已过期,宝马5系 2013款 525Li 领先型,¥23.00 万,新车指导价49.90万(含税),https://www.guazi.com/xuzhou/5d7b712cf40458e9x.htm
2015-12,1.4万公里,徐州,国五,自动,2.0,0次过户,睢宁,2019-12,2018-12,2018-12,陆风X7 2015款 2.0T 全景旗舰版,¥7.85 万,新车指导价16.00万(含税),https://www.guazi.com/xuzhou/674cf872905970a4x.htm
2011-07,12.6万公里,徐州,国四,自动,1.8,1次过户,睢宁,2018-7,2018-8,2018-8,大众 Passat领驭 2011款 1.8T 自动尊享型,¥7.10 万,新车指导价21.30万(含税),https://www.guazi.com/xuzhou/259b039682d2eca5x.htm
2016-04,4.65万公里,徐州,国五,自动,1.8,0次过户,新沂,2020-4,2019-4,已过期,现代 名图 2016款 1.8L 自动智能型GLS,¥11.40 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/e4b9a009f6412985x.htm
2013-10,5.52万公里,徐州,国四,手动,1.0,1次过户,新沂,2019-10,2018-10,已过期,海马爱尚 2012款 1.0L 豪华型,¥1.42 万,新车指导价5.00万(含税),https://www.guazi.com/xuzhou/0c6aa510ef404196x.htm
2016-09,3.25万公里,徐州,国五,自动,1.5,0次过户,泉山,2020-9,2019-9,已过期,别克 凯越 2015款 1.5L 自动经典型,¥5.50 万,新车指导价10.00万(含税),https://www.guazi.com/xuzhou/2cccf1a3f9db7709x.htm
2015-05,3.9万公里,徐州,国四,手动,1.2,0次过户,云龙,2019-5,2019-5,2019-5,东风小康 东风风光330 2014款 1.2L手动实用型DK12-07,¥2.00 万,新车指导价4.30万(含税),https://www.guazi.com/xuzhou/a5c38069be4d49e1x.htm
2014-01,6.79万公里,徐州,国四,自动,1.8,1次过户,泉山,2020-1,2019-4,2019-4,奔驰E级 2014款 改款 E 260 L 运动型,¥25.00 万,新车指导价48.30万(含税),https://www.guazi.com/xuzhou/15302887e946ff9bx.htm
2014-09,3.94万公里,徐州,国四,自动,2.0,0次过户,丰县,2019-9,2019-9,已过期,起亚 智跑 2015款 2.0L 自动两驱版DLX,¥9.38 万,新车指导价19.30万(含税),https://www.guazi.com/xuzhou/f21dc742ff9f91bdx.htm
2015-04,3.99万公里,徐州,国四,手动,2.0,0次过户,鼓楼,2019-4,2019-4,2019-4,陆风X5 2013款 2.0T 手动创享版,¥5.00 万,新车指导价11.30万(含税),https://www.guazi.com/xuzhou/463149f4170b8925x.htm
2014-05,5.73万公里,徐州,国四,手动,1.6,0次过户,铜山,2018-5,2018-5,已过期,雪铁龙世嘉 2013款 三厢 1.6L 手动品尚型,¥4.42 万,新车指导价11.70万(含税),https://www.guazi.com/xuzhou/6bf8f3a82196e856x.htm
2015-10,2.16万公里,徐州,国四,手动,1.5,0次过户,鼓楼,2019-10,2019-9,2019-9,吉利 帝豪 2014款 两厢 1.5L 手动精英型,¥4.50 万,新车指导价8.30万(含税),https://www.guazi.com/xuzhou/84297e0b0c8c0c67x.htm
2017-03,7.19万公里,徐州,国五,手动,1.6,0次过户,云龙,2019-3,2019-3,已过期,雪铁龙 爱丽舍 2017款 1.6L 手动时尚型,¥4.59 万,新车指导价9.10万(含税),https://www.guazi.com/xuzhou/af18e665bca945e2x.htm
2016-09,0.85万公里,徐州,国五,自动,1.8,0次过户,云龙,2020-9,2019-9,已过期,大众 迈腾 2016款 1.8TSI 智享领先型,¥16.18 万,新车指导价24.20万(含税),https://www.guazi.com/xuzhou/269175d1dc844565x.htm
2016-08,3.52万公里,徐州,国四,手动,1.4,0次过户,邳州,2020-8,2019-7,已过期,大众POLO 2014款 1.4L 手动风尚版,¥5.00 万,新车指导价8.20万(含税),https://www.guazi.com/xuzhou/a7998dc1db5e4c21x.htm
2017-11,2.95万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-11,已过期,已过期,凯迪拉克ATS-L 2016款 28T 时尚型,¥19.00 万,新车指导价34.60万(含税),https://www.guazi.com/xuzhou/5384b5ae2eeafe04x.htm
2014-11,6.99万公里,徐州,国四,手动,1.0,1次过户,新沂,2018-11,2018-11,已过期,开瑞 优胜2代 2012款 1.0L实力I型,¥1.90 万,新车指导价3.40万(含税),https://www.guazi.com/xuzhou/cc12d03dc12c022ax.htm
2015-11,2.95万公里,徐州,国四,自动,1.6,0次过户,云龙,2019-11,2019-11,2019-11,雪铁龙C3-XR 2015款 1.6THP 自动先锋型,¥7.40 万,新车指导价16.70万(含税),https://www.guazi.com/xuzhou/01b6d890507ad16ex.htm
2017-11,1.1万公里,徐州,国五,自动,1.0,0次过户,云龙,2019-11,2019-1,已过期,荣威i6 2017款 16T 自动互联智享版,¥8.61 万,新车指导价12.40万(含税),https://www.guazi.com/xuzhou/c14f44b0d7c515ccx.htm
2015-02,7.53万公里,徐州,国四,自动,2.0,0次过户,云龙,2019-2,2019-3,已过期,三菱 劲炫ASX 2013款 2.0L CVT两驱精英版,¥7.38 万,新车指导价15.20万(含税),https://www.guazi.com/xuzhou/5ebc181daa571cf2x.htm
2013-05,5.95万公里,徐州,国四,自动,2.4,1次过户,云龙,2019-5,2019-5,已过期,本田 歌诗图 2012款 2.4L 豪华版,¥12.29 万,新车指导价28.20万(含税),https://www.guazi.com/xuzhou/d4a72e5f1e28bf7fx.htm
2012-02,9.42万公里,徐州,国四,自动,2.4,0次过户,云龙,2019-2,2019-2,2019-2,本田 雅阁 2012款 2.4L SE,¥10.01 万,新车指导价24.90万(含税),https://www.guazi.com/xuzhou/1f070b5c5ccf4f08x.htm
2013-09,8.14万公里,徐州,国四,自动,1.6,0次过户,云龙,2019-9,2019-9,已过期,别克 英朗 2013款 XT 1.6L 自动时尚版,¥5.08 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/98c3f51d3663f151x.htm
2013-10,3.17万公里,徐州,国四,手动,1.8,0次过户,云龙,2019-10,2019-2,已过期,斯柯达 昊锐 2012款 1.8TSI 手动优雅版,¥7.25 万,新车指导价21.30万(含税),https://www.guazi.com/xuzhou/13681ad36b58fa37x.htm
2015-12,3.14万公里,徐州,国五,自动,1.4,0次过户,云龙,2019-12,2019-12,已过期,大众 凌渡 2015款 280TSI DSG舒适版,¥11.51 万,新车指导价20.00万(含税),https://www.guazi.com/xuzhou/e77113195b7b3a28x.htm
2016-10,2.49万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-10,2019-1,已过期,别克 君越 2016款 28T 旗舰型,¥19.98 万,新车指导价36.90万(含税),https://www.guazi.com/xuzhou/e9711ba25b3707f2x.htm
2014-03,11.01万公里,徐州,国四,自动,1.8,0次过户,新沂,2020-3,2019-3,2019-3,大众 途观 2013款 1.8TSI 自动四驱豪华型,¥11.87 万,新车指导价30.00万(含税),https://www.guazi.com/xuzhou/9e781a6fb45c4ebax.htm
2012-05,8.42万公里,徐州,国四,自动,1.8,0次过户,云龙,2019-5,2019-5,已过期,大众 迈腾 2012款 改款 1.8TSI 领先型,¥10.80 万,新车指导价23.90万(含税),https://www.guazi.com/xuzhou/c732ac270ab8ee2cx.htm
2012-11,11.48万公里,徐州,国四,自动,1.6,0次过户,云龙,2019-11,2019-11,已过期,奔驰C级 2011款 C 180K 经典型,¥12.79 万,新车指导价33.40万(含税),https://www.guazi.com/xuzhou/bc9bbc834bd52ca5x.htm
2016-12,3.33万公里,徐州,国四,手动,1.6,0次过户,云龙,2020-12,2019-12,已过期,雪铁龙 世嘉 2016款 经典 三厢 1.6L 手动品尚型,¥5.00 万,新车指导价10.40万(含税),https://www.guazi.com/xuzhou/ce218ba78104534ex.htm
2011-09,4.59万公里,徐州,国四,自动,2.0,0次过户,云龙,2019-9,2019-9,已过期,别克 君威 2011款 2.0L 舒适版,¥6.76 万,新车指导价20.10万(含税),https://www.guazi.com/xuzhou/2c0bf01cfaa4563ax.htm
2017-08,1.5万公里,徐州,国五,自动,1.5,1次过户,云龙,2019-8,2019-1,已过期,昌河Q35 2016款 1.5L 自动炫智版,¥5.31 万,新车指导价9.00万(含税),https://www.guazi.com/xuzhou/dd721981d8e2b8f3x.htm
2015-01,5.84万公里,徐州,国四,手动,1.5,0次过户,云龙,2019-1,2019-1,已过期,比亚迪S6 2014款 1.5TI 手动豪华型 5座,¥4.02 万,新车指导价9.50万(含税),https://www.guazi.com/xuzhou/3e7acc3763b76133x.htm
2015-02,5.27万公里,徐州,国四,自动,1.8,0次过户,云龙,2019-2,2019-2,已过期,福特 福克斯 2013款 两厢经典 1.8L 自动基本型,¥5.30 万,新车指导价11.90万(含税),https://www.guazi.com/xuzhou/677754ddeeabb134x.htm
2015-06,4万公里,徐州,国四,自动,1.8,2次过户,云龙,2019-6,2019-6,已过期,长安CS75 2014款 1.8T 自动精英型 国V,¥7.06 万,新车指导价14.80万(含税),https://www.guazi.com/xuzhou/88f5bf878626dacax.htm
2018-01,0.6万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-1,2019-1,已过期,奥迪Q3 2017款 35 TFSI 时尚型,¥20.69 万,新车指导价30.30万(含税),https://www.guazi.com/xuzhou/dab466905885d88dx.htm
2015-01,3.51万公里,徐州,国四,自动,2.0,1次过户,云龙,2021-1,2018-12,已过期,奥迪Q3 2015款 35 TFSI 进取型,¥15.00 万,新车指导价31.50万(含税),https://www.guazi.com/xuzhou/6e726c76c05ef064x.htm
2016-07,1.58万公里,徐州,国五,自动,1.6,0次过户,云龙,2020-7,2019-7,已过期,大众 桑塔纳 2015款 浩纳 1.6L 自动舒适型,¥7.20 万,新车指导价12.80万(含税),https://www.guazi.com/xuzhou/3c918795e59c9062x.htm
2017-09,2.89万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-9,2019-9,已过期,路虎 发现神行 2017款 2.0T HSE,补贴后28.88 万,原价30.38万,https://www.guazi.com/xuzhou/f4c5904966971e7cx.htm
2016-11,2.26万公里,徐州,国五,自动,1.4,0次过户,云龙,2020-11,2019-10,已过期,奥迪Q3 2016款 30 TFSI 时尚型,¥17.69 万,新车指导价28.10万(含税),https://www.guazi.com/xuzhou/4ca883d3c44804f3x.htm
2015-06,11.23万公里,徐州,国五,自动,1.4,0次过户,云龙,2019-6,2019-6,已过期,大众 凌渡 2015款 280TSI DSG舒适版,¥10.68 万,新车指导价20.00万(含税),https://www.guazi.com/xuzhou/9e72f993f868b860x.htm
2014-03,14.69万公里,徐州,国四,自动,2.0,0次过户,丰县,2020-3,2019-2,已过期,日产 天籁 2013款 2.0L XL-NAVI智领版,¥12.35 万,新车指导价21.40万(含税),https://www.guazi.com/xuzhou/be6aea25842667fdx.htm
2015-07,10.45万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-7,2019-7,2019-7,福特 蒙迪欧 2013款 2.0L GTDi200时尚型,¥11.71 万,新车指导价22.00万(含税),https://www.guazi.com/xuzhou/da4113d8e428818dx.htm
2011-03,6.35万公里,徐州,国四,自动,2.0,0次过户,云龙,2019-3,2019-3,已过期,福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,¥6.79 万,新车指导价23.60万(含税),https://www.guazi.com/xuzhou/77af500981c6b9c1x.htm
2012-05,5.65万公里,徐州,国四,自动,2.0,0次过户,新沂,2019-5,2019-5,2019-5,大众 迈腾 2012款 改款 2.0TSI 尊贵型,¥12.30 万,新车指导价29.10万(含税),https://www.guazi.com/xuzhou/134ffcf2da4aace2x.htm
2014-09,4.7万公里,徐州,国四,自动,1.6,0次过户,邳州,2020-9,2019-9,2019-9,标致2008 2014款 1.6L 自动领航版,¥6.17 万,新车指导价14.80万(含税),https://www.guazi.com/xuzhou/a330791d6c7067f3x.htm
2014-06,6.83万公里,徐州,国五,自动,1.4,0次过户,云龙,2020-6,2019-6,已过期,雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,¥6.66 万,新车指导价14.50万(含税),https://www.guazi.com/xuzhou/789f4c0ac1efcccex.htm
2015-09,3.22万公里,徐州,国四,手动,2.0,1次过户,云龙,2019-9,2019-9,2019-9,长安CS75 2014款 2.0L 手动领先型 国IV,¥6.26 万,新车指导价13.70万(含税),https://www.guazi.com/xuzhou/149d300ae2060306x.htm
2016-02,3.3万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-2,2019-2,已过期,福特 锐界 2015款 2.0T GTDi 四驱尊锐型,¥21.67 万,新车指导价36.90万(含税),https://www.guazi.com/xuzhou/2f4cdb02dedc50edx.htm
2017-05,6万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-5,2019-4,已过期,路虎 发现神行 2017款 2.0T HSE,¥27.20 万,新车指导价50.80万(含税),https://www.guazi.com/xuzhou/4b7b7f85c4064ef0x.htm
2017-08,1.25万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-8,2019-8,已过期,众泰 大迈X7 2017款 2.0T DCT至尊型,¥9.38 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/ebcd245122ed5e2bx.htm
2011-06,5.95万公里,徐州,国四,自动,1.6,0次过户,鼓楼,2019-6,2019-6,2019-6,别克 英朗 2010款 XT 1.6L 自动时尚版,¥4.70 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/7ceac7073ec99605x.htm
2013-04,6.33万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-4,2019-4,已过期,福特 翼虎 2013款 2.0L GTDi 四驱精英型,¥11.08 万,新车指导价27.40万(含税),https://www.guazi.com/xuzhou/d820db18e264c612x.htm
2015-01,10.91万公里,徐州,国四,自动,1.8,0次过户,云龙,2019-1,2019-2,已过期,长安 睿骋 2014款 1.8T 自动尊贵周年版 国IV,¥5.85 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/1811f77ea5049206x.htm
2014-04,4.54万公里,徐州,国四,手动,1.6,0次过户,睢宁,2020-4,2019-4,2019-4,奔腾B50 2013款 1.6L 手动豪华型,¥3.78 万,新车指导价10.50万(含税),https://www.guazi.com/xuzhou/ee825f84b5224536x.htm
2016-08,6.19万公里,徐州,国五,自动,1.5,0次过户,云龙,2020-8,2019-8,已过期,哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型,¥8.48 万,新车指导价13.60万(含税),https://www.guazi.com/xuzhou/becbf9d14b8756d8x.htm
2017-10,1.9万公里,徐州,国五,自动,1.2,0次过户,云龙,2019-10,2019-10,已过期,大众 朗行 2017款 180TSI DSG舒适版,¥10.43 万,新车指导价15.50万(含税),https://www.guazi.com/xuzhou/d7bb592ff36a213cx.htm
2013-12,2.47万公里,徐州,国四,手动,1.4,0次过户,鼓楼,2019-12,2019-1,已过期,标致207 2011款 两厢 1.4L 手动驭乐版,¥2.20 万,新车指导价7.80万(含税),https://www.guazi.com/xuzhou/9077ad5f441b0e5cx.htm
